# mdm(GeV) 	mAp(GeV) 	Number of Signal Events
1.0000e-03	1.0000e-03	0.0000e+00
1.0353e-03	1.0000e-03	0.0000e+00
1.0719e-03	1.0000e-03	0.0000e+00
1.1098e-03	1.0000e-03	0.0000e+00
1.1490e-03	1.0000e-03	0.0000e+00
1.1895e-03	1.0000e-03	0.0000e+00
1.2316e-03	1.0000e-03	0.0000e+00
1.2751e-03	1.0000e-03	0.0000e+00
1.3201e-03	1.0000e-03	0.0000e+00
1.3667e-03	1.0000e-03	0.0000e+00
1.4150e-03	1.0000e-03	0.0000e+00
1.4650e-03	1.0000e-03	0.0000e+00
1.5167e-03	1.0000e-03	0.0000e+00
1.5703e-03	1.0000e-03	0.0000e+00
1.6258e-03	1.0000e-03	0.0000e+00
1.6832e-03	1.0000e-03	0.0000e+00
1.7426e-03	1.0000e-03	0.0000e+00
1.8042e-03	1.0000e-03	0.0000e+00
1.8679e-03	1.0000e-03	0.0000e+00
1.9339e-03	1.0000e-03	0.0000e+00
2.0022e-03	1.0000e-03	0.0000e+00
2.0729e-03	1.0000e-03	0.0000e+00
2.1461e-03	1.0000e-03	0.0000e+00
2.2219e-03	1.0000e-03	0.0000e+00
2.3004e-03	1.0000e-03	0.0000e+00
2.3817e-03	1.0000e-03	0.0000e+00
2.4658e-03	1.0000e-03	0.0000e+00
2.5529e-03	1.0000e-03	0.0000e+00
2.6431e-03	1.0000e-03	0.0000e+00
2.7364e-03	1.0000e-03	0.0000e+00
2.8331e-03	1.0000e-03	0.0000e+00
2.9332e-03	1.0000e-03	0.0000e+00
3.0368e-03	1.0000e-03	0.0000e+00
3.1440e-03	1.0000e-03	0.0000e+00
3.2551e-03	1.0000e-03	0.0000e+00
3.3701e-03	1.0000e-03	0.0000e+00
3.4891e-03	1.0000e-03	0.0000e+00
3.6123e-03	1.0000e-03	0.0000e+00
3.7399e-03	1.0000e-03	0.0000e+00
3.8720e-03	1.0000e-03	0.0000e+00
4.0088e-03	1.0000e-03	0.0000e+00
4.1504e-03	1.0000e-03	0.0000e+00
