# mAp(GeV)	eps
1.0284e-03	5.0489e-06
1.1320e-03	5.3617e-06
1.2523e-03	5.5998e-06
1.3854e-03	5.8696e-06
1.5327e-03	6.1414e-06
1.6956e-03	6.4490e-06
1.8759e-03	6.7843e-06
2.0753e-03	7.1630e-06
2.2959e-03	7.5764e-06
2.5399e-03	8.0138e-06
2.8099e-03	8.4917e-06
3.1086e-03	9.0472e-06
3.4390e-03	9.6389e-06
3.8046e-03	1.0307e-05
4.2090e-03	1.0981e-05
4.6564e-03	1.1742e-05
5.1514e-03	1.2600e-05
5.6990e-03	1.3547e-05
6.3048e-03	1.4564e-05
6.9750e-03	1.5715e-05
7.7164e-03	1.6925e-05
8.5366e-03	1.8362e-05
9.4441e-03	1.9920e-05
1.0448e-02	2.1611e-05
1.1559e-02	2.3487e-05
1.2787e-02	2.5620e-05
1.4146e-02	2.7945e-05
1.5650e-02	3.0593e-05
1.7314e-02	3.3552e-05
1.9154e-02	3.6730e-05
2.1190e-02	4.0502e-05
2.3443e-02	4.4662e-05
2.5935e-02	4.9248e-05
2.8692e-02	5.4503e-05
3.1742e-02	6.0209e-05
3.5116e-02	6.6995e-05
3.8848e-02	7.4143e-05
4.2978e-02	8.2500e-05
4.7546e-02	9.1800e-05
5.2601e-02	1.0252e-04
5.8192e-02	1.1449e-04
6.4378e-02	1.2809e-04
7.1221e-02	1.4304e-04
7.8792e-02	1.6032e-04
8.7167e-02	1.8001e-04
9.6433e-02	2.0030e-04
1.0654e-01	2.2773e-04
1.1769e-01	2.5295e-04
1.2883e-01	2.8428e-04
1.3850e-01	3.1210e-04
1.5025e-01	3.4265e-04
1.5980e-01	3.7135e-04
1.7679e-01	4.1396e-04
1.9183e-01	4.6416e-04
2.0623e-01	5.1558e-04
2.2758e-01	5.7968e-04
2.4966e-01	6.5680e-04
2.7389e-01	7.4824e-04
3.0156e-01	8.5171e-04
3.3011e-01	9.5717e-04
3.5812e-01	1.0757e-03
3.9559e-01	1.2231e-03
4.3517e-01	1.4151e-03
4.7339e-01	1.6074e-03
5.1496e-01	1.8193e-03
5.6019e-01	2.0726e-03
6.0939e-01	2.3611e-03
6.6291e-01	2.6957e-03
7.2114e-01	3.0776e-03
7.8447e-01	3.5137e-03
8.5337e-01	4.0466e-03
9.2832e-01	4.6401e-03
1.0014e+00	5.2574e-03
1.0712e+00	5.8925e-03
1.1555e+00	6.6983e-03
1.2464e+00	7.6060e-03
1.3332e+00	8.5713e-03
1.4261e+00	9.6853e-03
